activity,institution,source_id,experiment_id,member_id,candidate_ready,full_physics_ready,trackability,circulation_basis,pressure_levels_verified,has_mslp,has_surface_wind,has_precipitation,has_temperature,has_humidity,has_surface_pressure,historical_pair_available,grid_labels,first_period,last_period,available_fields,missing_for_candidate_tracking,remaining_preprocessing
CMIP,CNRM-CERFACS,CNRM-ESM2-1,1pctCO2,r1i1p1f2,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,197001010130,199912312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CNRM-CERFACS,CNRM-ESM2-1,1pctCO2,r2i1p1f2,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,197001010130,199912312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CNRM-CERFACS,CNRM-ESM2-1,1pctCO2,r3i1p1f2,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,197001010130,199912312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CNRM-CERFACS,CNRM-ESM2-1,abrupt-4xCO2,r3i1p1f2,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,185001010130,199912312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CNRM-CERFACS,CNRM-ESM2-1,amip,r1i1p1f2,False,False,incomplete,none,False,False,True,True,False,False,True,False,gr,197901010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:ps|6hrLev:ta|6hrPlevPt:uas|6hrPlevPt:vas,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation
CMIP,CNRM-CERFACS,CNRM-ESM2-1,historical,r1i1p1f2,False,False,hybrid_levels_convertible,6hrLev:ua+va,False,True,True,True,False,True,True,False,gr,185001010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:hus|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlevPt:hus|6hrPlevPt:psl|6hrPlevPt:uas|6hrPlevPt:vas|6hrPlevPt:zg,verified fixed-pressure ua+va or vo at 850/700/500 hPa,hybrid-to-pressure interpolation|regional subset and common-grid standardisation
CMIP,CSIRO,ACCESS-ESM1-5,amip,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,True,True,True,False,True,False,gn,197901010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:hus|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,CSIRO,ACCESS-ESM1-5,amip,r2i1p1f1,False,False,incomplete,none,False,False,True,False,False,False,False,False,gn,197901010300,201501010000,3hr:uas|3hr:vas,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|precipitation diagnostics unavailable
CMIP,CSIRO,ACCESS-ESM1-5,esm-hist,r1i1p1f1,False,False,incomplete,none,False,False,True,True,False,False,True,False,gn,196001010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation
CMIP,CSIRO,ACCESS-ESM1-5,esm-hist,r2i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,True,False,gn,196001010130,201501010000,3hr:pr|3hr:ps,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CSIRO,ACCESS-ESM1-5,esm-hist,r3i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,True,False,gn,196001010130,201501010000,3hr:pr|3hr:ps,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CSIRO,ACCESS-ESM1-5,historical,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,True,True,True,False,True,False,gn,195001010300,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:hus|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,CSIRO,ACCESS-ESM1-5,historical,r2i1p1f1,False,False,incomplete,none,False,False,True,False,False,False,False,False,gn,196001010300,201501010000,3hr:uas|3hr:vas,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|precipitation diagnostics unavailable
CMIP,CSIRO,ACCESS-ESM1-5,piControl,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,True,True,True,False,False,False,gn,029601010130,032601010000,3hr:pr|3hr:uas|3hr:vas|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,CSIRO-ARCCSS,ACCESS-CM2,amip,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,True,True,True,False,True,False,gn,197901010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:hus|6hrLev:ps|6hrLev:ua|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,CSIRO-ARCCSS,ACCESS-CM2,amip,r2i1p1f1,False,False,incomplete,none,False,False,True,False,False,False,False,False,gn,197901010300,201501010000,3hr:uas|3hr:vas,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|precipitation diagnostics unavailable
CMIP,CSIRO-ARCCSS,ACCESS-CM2,historical,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,True,True,True,False,True,False,gn,195001010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:hus|6hrLev:ps|6hrLev:ua|6hrLev:va|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,CSIRO-ARCCSS,ACCESS-CM2,piControl,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,True,True,True,False,True,False,gn,108501010130,111501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,E3SM-Project,E3SM-1-0,abrupt-4xCO2,r1i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,000101010130,015012312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,EC-Earth-Consortium,EC-Earth3,amip,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,False,False,False,False,True,False,gr,197901010000,201712312100,3hr:ps|6hrLev:ps|6hrPlevPt:psl|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation|classification without native 10-m vector wind|precipitation diagnostics unavailable
CMIP,EC-Earth-Consortium,EC-Earth3,historical,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,True,True,True,False,True,False,gr,185001010000,201412312230,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:ps|6hrPlev:psl|6hrPlev:uas|6hrPlev:vas|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va|6hrPlevPt:zg,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,EC-Earth-Consortium,EC-Earth3,historical,r3i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,185001010130,201412312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,EC-Earth-Consortium,EC-Earth3,historical,r4i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,185001010130,201412312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,EC-Earth-Consortium,EC-Earth3,historical,r6i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,185001010130,201412311930,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,EC-Earth-Consortium,EC-Earth3,historical,r9i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,185001010130,201412311930,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,EC-Earth-Consortium,EC-Earth3,piControl,r1i1p1f1,True,False,candidate_ready,6hrPlevPt:ua+va,True,True,True,True,True,False,False,False,gr,225901010000,275912312100,3hr:pr|3hr:uas|3hr:vas|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va|6hrPlevPt:zg,,regional subset and common-grid standardisation
CMIP,EC-Earth-Consortium,EC-Earth3,piControl,r2i1p1f1,False,False,incomplete,none,False,False,False,False,True,False,False,False,gr,210301010000,270612311800,6hrPlevPt:ta,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind|precipitation diagnostics unavailable
CMIP,EC-Earth-Consortium,EC-Earth3-AerChem,abrupt-4xCO2,r1i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,185001010130,199912312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,EC-Earth-Consortium,EC-Earth3-AerChem,amip,r1i1p1f1,False,False,incomplete,none,False,False,False,False,False,False,True,False,gr,197901010000,201812312100,3hr:ps,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind|precipitation diagnostics unavailable
CMIP,EC-Earth-Consortium,EC-Earth3-AerChem,historical,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,True,True,True,False,True,False,gr,185001010000,201412312230,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,EC-Earth-Consortium,EC-Earth3-CC,historical,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,False,False,True,False,True,False,gr,185001010000,201412311800,6hrLev:ps|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation|classification without native 10-m vector wind|precipitation diagnostics unavailable
CMIP,EC-Earth-Consortium,EC-Earth3-CC,piControl,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,False,False,False,False,False,False,gr,185001010000,235412311800,6hrPlevPt:psl|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation|classification without native 10-m vector wind|precipitation diagnostics unavailable
CMIP,EC-Earth-Consortium,EC-Earth3-LR,piControl,r1i1p1f1,True,False,candidate_ready,6hrPlevPt:ua+va,True,True,False,False,True,False,False,False,gr,221901010000,241912311800,6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va|6hrPlevPt:zg,,regional subset and common-grid standardisation|classification without native 10-m vector wind|precipitation diagnostics unavailable
CMIP,EC-Earth-Consortium,EC-Earth3-Veg,abrupt-4xCO2,r1i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,185001010130,200012312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,EC-Earth-Consortium,EC-Earth3-Veg,piControl,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,True,True,True,False,False,False,gr,185001010000,234912312230,3hr:pr|3hr:uas|3hr:vas|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,historical,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,True,True,True,False,True,False,gr,185001010000,201412312230,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:ps|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,piControl,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,True,True,True,False,False,False,gr,230001010000,280012312230,3hr:pr|3hr:uas|3hr:vas|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,abrupt-4xCO2,r1i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,False,True,gn,185001010130,199912312230,3hr:pr|6hrPlev:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,amip,r1i1p1f1,False,False,incomplete,none,False,False,False,False,True,False,True,True,gn,197901010300,201501010000,3hr:ps|6hrLev:ps|6hrLev:ta|6hrPlevPt:ta,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind|precipitation diagnostics unavailable
CMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,historical,r1i1p1f1,True,True,candidate_ready,6hrPlevPt:ua+va,True,True,True,True,True,True,True,False,gn,185001010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:hus|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlev:pr|6hrPlev:psl|6hrPlev:uas|6hrPlev:vas|6hrPlevPt:hus|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:uas|6hrPlevPt:va|6hrPlevPt:vas|6hrPlevPt:zg,,regional subset and common-grid standardisation
